u,x,cminus,cplus,c55,c56,disc,cV,alpha7
0.7063878469617404,1.415652894229595,-1397.3490970706519,-1397.3490970706519,-2794.6981941413037,2614568.099013968,-2647934.3997192075,0.05750248850483968,10.607835775988228
0.7063615903975994,1.4157055162599037,-1439.557315520072,-1439.557315520072,-2879.114631040144,2771943.558913809,-2798473.1769858096,0.05765978626026348,10.590816375047993
0.7063353338334584,1.415758142202444,-1439.9010253861318,-1439.9010253861318,-2879.8020507722636,2768071.374319043,-2779025.645644037,0.0578170468707592,10.573883395974647
0.7063090772693172,1.4158107720576525,-1377.8535839122198,-1377.8535839122198,-2755.7071678244397,2527940.8212988204,-2517841.290396287,0.057974253988881334,10.557037956541363
0.7062828207051762,1.4158634058259647,-1308.4044136910375,-1308.4044136910375,-2616.808827382075,2261475.951348926,-2198215.3663309533,0.05813152233100949,10.54026652667511
0.7062565641410352,1.415916043507818,-1248.6571685636377,-1248.6571685636377,-2497.3143371272754,2031860.958185467,-1890864.9343204247,0.05828898317532822,10.52355398987606
0.7062303075768942,1.4159686851036484,-1181.9585758814856,-1181.9585758814856,-2363.917151762971,1774768.7368760551,-1510970.6471050624,0.05844676786005249,10.506885503618133
0.7062040510127532,1.4160213306138925,-1127.516121607785,-1127.516121607785,-2255.03224321557,1560914.0456212063,-1158485.7645429801,0.05860501250161487,10.49024597561484
0.7061777944486122,1.4160739800389872,-1143.6905784466583,-1143.6905784466583,-2287.3811568933165,1612732.909284239,-1218819.0802263487,0.05876384054065215,10.47362198687734
0.706151537884471,1.4161266333793692,-1196.903240782262,-1196.903240782262,-2393.806481564524,1807482.6776124113,-1499621.23926932,0.05892323087487504,10.457016135056653
0.70612528132033,1.4161792906354749,-1227.4462296209583,-1227.4462296209583,-2454.8924592419166,1917667.7363710986,-1644173.9590415685,0.05908308010538066,10.440439886144864
0.706099024756189,1.416231951807741,-1253.598388148918,-1253.598388148918,-2507.196776297836,2011977.7988646692,-1761875.520380415,0.059243332836215024,10.423899299609918
0.706072768192048,1.4162846168966048,-1285.5420665224663,-1285.5420665224663,-2571.0841330449325,2129150.3443598226,-1906127.7582438784,0.059403923951080496,10.407401364891065
0.706046511627907,1.4163372859025032,-1316.5129641590977,-1316.5129641590977,-2633.0259283181954,2243149.731248808,-2039773.385799338,0.05956479113370337,10.39095263830492
0.7060202550637659,1.4163899588258737,-1311.3398850973506,-1311.3398850973506,-2622.679770194701,2219478.0908852685,-1999463.1865525432,0.05972586459210713,10.374560344782171
0.7059939984996249,1.416442635667152,-1280.5467556767758,-1280.5467556767758,-2561.0935113535515,2097930.799403026,-1832523.2237148387,0.059887146366589455,10.358223971828071
0.7059677419354838,1.4164953164267764,-1275.4083160115797,-1275.4083160115797,-2550.8166320231594,2073727.9064603124,-1788246.1356352754,0.060048698876621606,10.341936656667954
0.7059414853713428,1.416548001105184,-1277.26378387062,-1277.26378387062,-2554.52756774124,2076193.1268610056,-1779161.4130940465,0.0602105258116767,10.325697815372155
