u,x,f3_delta,f3X_delta,f3XX_delta,f4_delta,f4X_delta,f4XX_delta,f4XXX_delta,tf4_delta,f2XX_delta,f2XF_delta,f2FF_delta,f2XY_delta,f2FY_delta,f2YY_delta,e3_emitted,e3_historical_target
0.7126142857142856,1.4032836838201392,8422.52060548259,5953.20977302015,-804.3564380621813,-5472.960839676672,-2966.392585555731,-378.07769267233033,144.5128445653681,-4027.0218069736766,1999.2278596466488,-1539.8221749362979,-1202.5297269085786,6432.97335089267,1330.8799031886726,2756.198392265713,4297980638.931406,146.7843159856508
0.7126107142857142,1.4032907167307338,8398.633646159402,5929.9130838605315,-801.6479507247036,-5456.718263001784,-2953.462031405825,-376.0923254934419,144.0228514998991,-4017.1281139718585,1980.1737223901941,-1532.702492601896,-1204.87780977685,6408.96464547014,1334.0670798859983,2763.1675806220987,-13262149835.78216,147.24492643139035
0.7126071428571428,1.4032977497118229,8373.822238793959,5906.176262008029,-798.9512388303001,-5441.037027374439,-2939.3675186594123,-374.018886632244,143.5350022783071,-4006.680924030307,1961.3444339637078,-1525.4129687894583,-1207.0715024958627,6384.804513387984,1337.195142319068,2769.9442116089426,8103535333.03441,147.70559626990615
0.7126035714285714,1.4033047827634078,8349.329265638757,5882.7821315972005,-796.2134905089015,-5424.725291288393,-2926.158605779042,-372.0427068241866,143.03980449404744,-3995.9049931997442,1942.6082106997212,-1517.677778585932,-1208.9903534629295,6359.849320276981,1340.1632765600568,2776.2951537909917,5937371929.726106,148.1663235244338
0.7126,1.4033118158854898,8325.347855034,5859.29374327547,-793.4509671447945,-5408.433745593014,-2913.5279415054115,-370.07153968809394,142.5401763242475,-3986.0469316177478,1924.00395193439,-1510.5576143769276,-1211.183819500506,6335.536797933926,1343.1804971583479,2782.8902391127804,-13943404996.15852,148.62710622422998
0.7125964285714286,1.4033188490780697,8300.468649436152,5835.371870255467,-790.7053219992171,-5392.7585709729055,-2899.7056419875335,-368.0091155188657,142.0436017268522,-3975.678046518119,1905.630727857901,-1503.301687597846,-1213.2571162331926,6311.144778907811,1346.155114959986,2789.340415523799,6967751673.439802,149.0879424042884
0.7125928571428571,1.4033258823411483,8275.79121569402,5811.733749566895,-787.9195564143002,-5376.4917628316025,-2886.6294306694435,-366.0325311647585,141.5398411718106,-3964.921838787471,1887.348887832995,-1495.5896740692472,-1215.0468108673304,6285.949564310334,1348.9655627406833,2795.353033559151,7825384493.27823,149.54883010519922
0.7125892857142857,1.4033329156747274,8251.70305996348,5788.068192996544,-785.1049092665788,-5360.130422167454,-2874.288638388263,-364.07642295432726,141.03091409907393,-3955.074450830702,1869.1846034909938,-1488.4595446706958,-1217.0559609313964,6261.3315269679215,1351.7991121025498,2801.534749910131,-14483175665.624487,150.00976737293618
0.7125857142857143,1.4033399490788077,8226.780761513248,5763.963251246863,-782.3122469601547,-5344.466448940446,-2860.7394036258124,-362.023745155454,140.5259580355137,-3944.823151500352,1851.2571749936706,-1481.2647755944297,-1219.044618548315,6236.75355258714,1354.6300612469522,2807.696415495315,5377018353.72389,150.47075225865848
0.7125821428571428,1.40334698255339,8201.92974779237,5740.129168444557,-779.4849876320048,-5328.253316179948,-2847.7817833961426,-360.0500041379161,140.01481581511052,-3934.045019357139,1833.430191963816,-1473.5484762283638,-1220.664567700603,6211.319336234785,1357.2712560645011,2813.327257521525,9880999796.668417,150.9317828185121
